target_return,variance,stdev
0.008001384863770519,0.0012282503835685395,0.035046403290045894
0.008001384863770519,0.0012282503835685395,0.035046403290045894
0.008001384863770519,0.0012282503835685395,0.035046403290045894
0.008001384863770519,0.0012282503835685395,0.035046403290045894
0.008001384863770519,0.0012282503835685395,0.035046403290045894
0.008001384863770519,0.0012282503835685395,0.035046403290045894
0.008492196601948533,0.0012315702596166708,0.03509373533291477
0.009039784147815299,0.0012431104498894648,0.03525777148217772
0.009587371693682066,0.001262915378486095,0.035537520713832794
0.010134959239548833,0.0012909850454065617,0.03593028034132995
0.010682546785415598,0.0013273194506508636,0.03643239562053069
0.011230134331282364,0.0013719185942190012,0.03703941946384961
0.011777721877149133,0.0014247824761109752,0.03774629089209926
0.012325309423015893,0.0014859110963267844,0.03854751738214517
0.012872896968882658,0.00155530445486643,0.039437348476620865
0.013420484514749425,0.001632962551729911,0.04040993135022517
0.013968072060616196,0.0017188853869172273,0.04145944267494713
0.01451565960648296,0.0018130729604283811,0.04258019446207804
0.015063247152349721,0.0019155252722633691,0.043766714204556974
0.015610834698216494,0.0020262423224221933,0.04501380146601921
